genre,artist_name,track_name,track_id,loudness,tempo,energy
Movie,Henri Salvador,C'est beau de faire un Show,0BRjO6ga9RKCKjfDqeFgWV,-1.828,166.969,0.91
Movie,Martin & les fées,Perdu d'avance (par Gad Elmaleh),0BjC1NfoEOOusryehmNudP,-5.559,174.003,0.737
Movie,Joseph Williams,Don't Let Me Be Lonely Tonight,0CoSDzoNIKCRs124s9uTVy,-13.879,99.488,0.131
Movie,Henri Salvador,Dis-moi Monsieur Gordon Cooper,0Gc6TVm52BwZD07Ki6tIvf,-12.178,171.758,0.326
Movie,Fabien Nataf,Ouverture,0IuslXpMROHdEPvSl1fTQK,-21.15,140.576,0.225
Movie,Henri Salvador,Le petit souper aux chandelles,0Mf1jKa8eNAf1a4PwTbizj,-14.97,87.479,0.0948
Movie,Martin & les fées,"Premières recherches (par Paul Ventimila, Lorie Pester, Véronique Jannot, Michèle Laroque & Gérard Lenorman)",0NUiKYRd6jt1LKMYGkUdnZ,-12.675,82.873,0.27
Movie,Laura Mayne,Let Me Let Go,0PbIF9YVD505GutwotpB5C,-8.949,96.827,0.269
Movie,Chorus,Helka,0ST6uPfvaPpJLtQwhE6KfC,-7.725,125.08,0.481
Movie,Le Club des Juniors,Les bisous des bisounours,0VSqZ3KStsjcfERGdcWpFO,-7.79,137.496,0.705
Movie,Leopold Stokowski,Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato,0XKgegoxLcIihK3Klpfo3N,-17.239,85.225,0.145
Movie,Randy Newman,The Hanging (Maverick - Original Motion Picture Score) - Remastered,0hprxsuRM5vVCOfaM7l3gQ,-19.051,91.739,0.133
Movie,Idoles De La Musique,J'ai demandé à la lune,0jF6HUm18fg6QQCLHhfhC0,-7.702,110.026,0.6
Movie,Chorus,Mangala Aarti,0jIY0oRAp1T4mezDyEhOad,-11.966,110.068,0.264
Movie,Richard M. Sherman,Keys of Love,0pXwl2CRP5awxHsF9eET3L,-13.869,115.022,0.174
Movie,Michel Roux,Les aventures d'Arsène Lupin: 813 - Partie 6,0uWUjxM7oDPKpb3T2y3oZm,-15.55,83.56,0.405
Movie,Jean Claude Corbel,Diane,0vS7Zid3q0dMyX8uMnlQ8s,-16.655,108.508,0.237
Movie,Bernard Minet,Ultra Man 80,0x8xSaoSfQkOYUnG1nbga0,-4.986,129.959,0.953
Movie,Henri Salvador,Veunise,113pHPsGwyeklEjLhnB3ZT,-8.73,71.633,0.491
Movie,Amalya,Ladies And Gentlemen,12ZjoNweObu1k9rK4SOSdL,-5.203,184.063,0.748
Movie,Martin & les fées,"Tout est possible (par Anggun, Dany Brillant, Garou, Gérard Lenorman, Julie Zenatti, Lisa Angell, Lorie Pester, Natasha St-Pier, Patrick Fiori, Paul Ventimila, Sara Carreira, Veronique Jannot & Vincent Niclo)",12hJJLMMbJDK0F9I3g5SLv,-6.971,79.542,0.436
Movie,Dorothée,Clic clac cloc,148uA2Y78xfxDiCNjgZA0v,-12.359,128.052,0.504
Movie,Henri Salvador,Monsieur Boum Boum,14K25Ks5fdHjHfpIYOTc4y,-6.699,,0.804
Movie,Jean Claude Corbel,Pourquoi aller plus loin ?,15CpJP0LXchBUjpB8RKh8m,-10.472,,0.696
Movie,Henri Salvador,Quand je monte chez toi,15nBPcHoH2fZmRiFd2ZhMh,-7.287,,0.298
Movie,Jean Piat,Comme minuit sonnait,16UTNMhXjeJa8IG9uBijxZ,-22.212,,0.218
Movie,Henri Salvador,Le Fêtard,16hVzfu0IJZmP3Bj4x1BB1,-7.943,111.361,0.594
Movie,Lucie Dolene,Le mariage des poupées,17c4utCC03TPtTHXw2EVGB,-7.678,136.182,0.481
Movie,Henri Salvador,Une chanson douce,1J5pa9cW0uCsNrFwag0jDD,-15.629,126.892,0.384
Movie,Chorus,Mangani – Do Banjare / Amba Heth,1KIKeCTNJKYpQK5X5Sqc1v,-10.217,112.965,0.5
Movie,Chorus,A ty si? ?miejesz ze mnie,1KVSUAEvXBSlARo03y4YYG,-4.008,145.125,0.941
Movie,Martin & les fées,Une journée d'école qui s'achève (par Véronique Jannot),1LFky4DBeOLzVWbg0avgod,-16.222,70.941,0.283
Movie,Henri Salvador,C Est Le Be Bop,1R8nFU8no9yINDiCzBcgB3,-12.508,84.173,0.44
Movie,Henri Salvador,La Samba De Là-Bas,1X8uhUgBKmotpvHrsS7fEe,-11.432,128.494,0.418
